AU,Австралия
AT,Австрия
AZ,Азербайджан
AL,Албания
DZ,Алжир
AS,Американска Самоа
VI,Американски Вирджински острови
AI,Ангила
AO,Ангола
AD,Андора
AQ,Антарктида
AG,Антигуа и Барбуда
AR,Аржентина
AM,Армения
AW,Аруба
AF,Афганистан
BD,Бангладеш
BB,Барбадос
BS,Бахамски острови
BH,Бахрейн
BY,Беларус
BE,Белгия
BZ,Белиз
BJ,Бенин
BM,Бермудски острови
BO,Боливия
BA,Босна и Херцеговина
BW,Ботсвана
BR,Бразилия
IO,Британска индоокеанска територия
VG,Британски Вирджински острови
BN,Бруней
BV,Норвегия Буве
BF,Буркина Фасо
BI,Бурунди
BT,Бутан
BG,България
VU,Вануату
VA,Ватикан
GB,Великобритания
VE,Венецуела
VN,Виетнам
GA,Габон
GM,Гамбия
GH,Гана
GP,Unofficial Гваделупа
GT,Гватемала
GY,Гвиана
GN,Гвинея
GW,Гвинея-Бисау
DE,Германия
GI,Гибралтар
GD,Гренада
GL,Гренландия
GE,Грузия
GU,Гуам
GG,Гърнси
GR,Гърция
DK,Дания
CD,Демократична република Конго
DJ,Джибути
JE,Джърси
DM,Доминика
DO,Доминиканска република
EG,Египет
EC,Еквадор
GQ,Екваториална Гвинея
ER,Еритрея
SZ,Есватини
EE,Естония
ET,Етиопия
ZM,Замбия
EH,Западна Сахара
ZW,Зимбабве
IL,Израел
TL,Източен Тимор
IN,Индия
ID,Индонезия
IQ,Ирак
IR,Иран
IE,Ирландия
IS,Исландия
ES,Испания
IT,Италия
YE,Йемен
JO,Йордания
CV,Кабо Верде
KZ,Казахстан
KY,Кайманови острови
KH,Камбоджа
CM,Камерун
CA,Канада
BQ,Нидерландия Карибска Нидерландия
QA,Катар
KE,Кения
CY,Кипър
KG,Киргизстан
KI,Кирибати
CN,Китай
CC,Кокосови острови
CX,Коледен остров
CO,Колумбия
KM,Коморски острови
CR,Коста Рика
CI,Кот д'Ивоар
CU,Куба
KW,Кувейт
CW,Кюрасао
LA,Лаос
LV,Латвия
LS,Лесото
LR,Либерия
LY,Либия
LB,Ливан
LT,Литва
LI,Лихтенщайн
LU,Люксембург
MR,Мавритания
MU,Мавриций
MG,Мадагаскар
YT,Майот
MO,Макао
MW,Малави
MY,Малайзия
MV,Малдиви
ML,Мали
UM,Съединени американски щати Малки далечни острови на САЩ
MT,Малта
IM,Ман
MA,Мароко
MQ,Франция Мартиника
MH,Маршалови острови
MX,Мексико
MM,Мианмар
FM,Микронезия
MZ,Мозамбик
MD,Молдова
MC,Монако
MN,Монголия
MS,Монсерат
NA,Намибия
NR,Науру
NP,Непал
NE,Нигер
NG,Нигерия
NL,Нидерландия
NI,Никарагуа
NU,Ниуе
NZ,Нова Зеландия
NC,Нова Каледония
NO,Норвегия
AE,ОАЕ
AX,Оландски острови
OM,Оман
NF,Норфолк
CK,Острови Кук
HM,Австралия Острови Хърд и Макдоналд
PK,Пакистан
PW,Палау
PS,Палестинска автономия
PA,Панама
PG,Папуа Нова Гвинея
PY,Парагвай
PE,Перу
PN,Питкерн
PL,Полша
PT,Португалия
PR,Пуерто Рико
CG,Република Конго
RE,Франция Реюнион
RW,Руанда
RO,Румъния
RU,Русия
SV,Салвадор
WS,Самоа
SM,Сан Марино
ST,Сао Томе и Принсипи
SA,Саудитска Арабия
US,САЩ
SJ,Норвегия Свалбард и Ян Майен
SH,"Великобритания Света Елена, Възнесение и Тристан да Куня"
KP,Северна Корея
MK,Северна Македония
MP,Северни Мариански острови
VC,Сейнт Винсент и Гренадини
KN,Сейнт Китс и Невис
LC,Сейнт Лусия
SC,Сейшелски острови
BL,Сен Бартелми
MF,Сен Мартен
PM,Сен Пиер и Микелон
SN,Сенегал
SL,Сиера Леоне
SG,Сингапур
SX,Синт Мартен
SY,Сирия
SK,Словакия
SI,Словения
SB,Соломонови острови
SO,Сомалия
SD,Судан
SR,Суринам
RS,Сърбия
TJ,Таджикистан
TW,Тайван
TH,Тайланд
TZ,Танзания
TG,Того
TK,Токелау
TO,Тонга
TT,Тринидад и Тобаго
TV,Тувалу
TN,Тунис
TM,Туркменистан
TR,Турция
TC,Търкс и Кайкос
UG,Уганда
UZ,Узбекистан
UA,Украйна
HU,Унгария
WF,Уолис и Футуна
UY,Уругвай
FO,Фарьорски острови
FJ,Фиджи
PH,Филипини
FI,Финландия
FK,Фолкландски острови
FR,Франция
GF,Франция Френска Гвиана
PF,Френска Полинезия
TF,Френски южни и антарктически територии
HT,Хаити
HN,Хондурас
HK,Хонконг
HR,Хърватия
CF,Централноафриканска република
TD,Чад
ME,Черна гора
CZ,Чехия
CL,Чили
CH,Швейцария
SE,Швеция
LK,Шри Ланка
ZA,ЮАР
SS,Южен Судан
GS,Южна Джорджия и Южни Сандвичеви острови
KR,Южна Корея
JM,Ямайка
JP,Япония
