Afar,Афарски
Abkhazian,Абхазки
Afrikaans,Африканс
Akana,Акана
Elsatian,Елзаски
Amharic,Амхарски
Aragonese,Арагонски
Anglo-Saxon,Англосаксонски
Arabic,Арабски
Assamese,Асамски
Asturian,Астурски
Avienan,avienan
Aymara,Аймара
Azerbaijani,Азербайджански
Bashkir,Башкирски
Belarussian,Белоруски
Bulgarian,Български
Bihari,Бихарски
Bislama,Бислама
Bengali,Бенгалски
Tibetan,Тибетски
Breton,Бретонски
Bosnian,Босненски
Buginese,buginese
Catalan,Каталонски
Chamoru,Цамору
Corsican,Корсикански
Cree,Кри
Czech,Чешки
Welsh,Уелски
Danish,Датски
German,Немски
Divehi,Дивехи
Dzongkha,Дзонгкха
Ewe,Еве
Greek,Гръцки
English,Английски
Esperanto,Есперанто
Spanish,Испански
Estonian,Естонски
Basque,Баски
Persian,Персийски
Finnish,Фински
Fijian,Фиджийски
Faeroese,Фарьорски
French,Френски
Frisian,Фризийски
Irish,Ирландски
Gayo,Гайо
Galego,Галисийски
Guarani,Гуарани
Gothic,Готски
Gujarati,Гуджаратски
Hausa,Хауса
Hawaiian,Хавайски
Hebrew,Иврит
Hindi,Хинди
Croatian,Хърватски
Haitian,Хаитянски
Hungarian,Унгарски
Armenian,Арменски
Interlingua,Интерлингва
Iban,Ибан
Indonesian,Индонезийски
Inupiak,inupiak
Ido,Идо
Icelandic,Исландски
Italian,Италиански
Inuktitut,Инуктитут
Japanese,Японски
Javanese,Явански
Georgian,Грузински
Kawi,kawi
Kazakh,Казахски
Greenlandic,Гренландски
Cambodian,Кхмерски
Kannada,Каннада
Korean,Корейски
Kashmiri,Кашмирски
Kurdish,Кюрдски
Kirghiz,Киргизки
Latin,Латински
Letzeburgesch,Люксембургски
Limburguish,Лимбургски
Lingala,Лингала
Laotian,Лаоски
Lithuanian,Литовски
Latvian,Латвийски
Madurese,madurese
Makasar,makasar
Malagasy,Малгашки
Maori,Маорски
Macedonian,Македонски
Malayalam,Малаялам
Mongolian,Монголски
Moldavian,Молдовски
Marathi,Маратхи
Malay,Малайски
Maltese,Малтийски
Muskogee,muskogee
Burmese,Бирмански
Nauru,Науруански
Nahuatl,Нахуатъл
Nepali,Непалски
Dutch,Холандски
Norwegian,Норвежки
Navajo,Навахо
Occitan,Окситански
Oromo,Оромо
Oriya,Ория
Punjabi,Пенджабски
Polish,Полски
Pashto,Пущунски
Portuguese,Португалски
Quechua,Кечуа
Rhaeto-Romance,Реторомански
Kirundi,Кирунди
Romanian,Румънски
Russian,Руски
Kinyarwanda,Киняруанда
Sanskrit,Санскрит
Sakha,Якутски
Sardinian,Сардински
Scots,Шотландки
Sicilian,Сицилийски
Sindhi,Синдхи
Sangro,Санго
Serbo-Croatian,Сърбохърватски
Singhalese,Синхалски
Slovak,Словашки
Slovene,Словенски
Slovenian,Словенски
Samoan,Самоански
Shona,Шона
Somalian,Сомалийски
Albanian,Албански
Serbian,Сръбски
Sesotho,Сесото
Sundanese,Сундански
Swedish,Шведски
Swahili,Суахили
Tamil,Тамилски
Telugu,Телугу
Tajik,Таджикски
Thai,Тайски
Tigrinya,Тигриня
Turkmen,Туркменски
Tagalog,Тагалог
Setswana,setswana
Tonga,Тонгански
Turkish,Турски
Tsonga,Цонга
Tatar,Татарски
Tahitian,Таитянски
Uighur,Уйгурски
Ukrainian,Украински
Urdu,Урду
Uzbek,Узбекски
Vietnamese,Виетнамски
Volapük,Волапюк
Walloon,Валонски
Wolof,Волоф
Yiddish,Идиш
Yoruba,Йоруба
Chinese,Китайски
Zulu,Зулуски
